Name,C-1,C-2,C-5,C-6,7D-2,7D-3,7D-6,7D-7,14D-3,14D-5,14D-6,14D-7,21D-3,21D-5,21D-6,21D-7
TRINITY_DN30695_c1_g4_i1,4,0,0,2,2,1,0,1,0,0,0,1,1,0,0,3
TRINITY_DN398353_c0_g1_i1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
TRINITY_DN12786_c1_g1_i2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN12786_c1_g1_i4,0,7,0,0,9,0,0,0,10,0,0,19,0,0,0,26
TRINITY_DN35101_c0_g1_i1,4,12,8,2,4,2,5,6,3,7,9,6,6,4,12,0
TRINITY_DN12786_c1_g1_i6,210,79,128,173,300,289,159,156,118,75,131,353,88,123,98,308
TRINITY_DN10755_c2_g1_i2,4,1,0,0,0,4,4,1,0,1,0,2,0,1,1,0
TRINITY_DN12786_c1_g1_i7,9,0,5,15,36,30,11,15,4,0,0,7,17,3,0,0
TRINITY_DN12786_c1_g1_i8,0,0,0,0,26,0,0,0,0,0,0,0,0,3,2,0
TRINITY_DN105585_c0_g1_i1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN16756_c0_g1_i5,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,1
TRINITY_DN27625_c0_g2_i1,3,0,0,0,3,0,0,1,0,0,2,0,0,0,0,1
TRINITY_DN396320_c0_g1_i1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN23514_c2_g1_i4,12,4,6,0,2,3,4,1,2,0,4,3,0,3,1,3
TRINITY_DN23514_c2_g1_i5,3,1,0,2,0,0,1,0,4,0,0,0,0,0,2,14
TRINITY_DN23514_c2_g1_i7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TRINITY_DN37134_c0_g1_i1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
TRINITY_DN250718_c0_g1_i1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
TRINITY_DN236467_c0_g1_i1,1,1,0,0,4,0,0,0,5,4,0,0,0,6,0,0
TRINITY_DN35195_c0_g1_i1,19,4,10,0,0,0,0,0,11,0,0,0,0,2,0,9
TRINITY_DN48003_c0_g2_i1,0,0,0,2,1,4,0,2,2,0,0,0,0,0,0,1
TRINITY_DN133708_c0_g1_i17,7,4,2,0,5,0,0,0,0,0,0,2,0,0,1,0
TRINITY_DN22006_c0_g4_i1,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
TRINITY_DN133708_c0_g1_i10,0,4,0,0,1,0,0,2,0,0,0,0,2,0,1,3
TRINITY_DN133708_c0_g1_i11,22,0,2,0,1,0,2,0,0,0,0,2,0,0,8,0
TRINITY_DN374594_c0_g1_i1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0
TRINITY_DN736_c1_g1_i1,6,6,3,3,3,0,0,1,2,0,0,2,2,2,5,0
TRINITY_DN22342_c0_g1_i2,6,0,0,2,0,0,3,0,4,2,7,0,0,5,0,4
TRINITY_DN28928_c2_g1_i1,0,0,0,0,2,0,1,3,0,2,2,1,3,2,0,3
TRINITY_DN100171_c0_g1_i1,7,10,3,0,7,0,2,0,0,0,2,0,0,0,0,0
TRINITY_DN192519_c0_g1_i2,4,1,3,1,0,2,2,1,0,0,0,1,3,0,2,3
TRINITY_DN425548_c0_g1_i1,3,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
TRINITY_DN100171_c0_g1_i2,3,0,0,1,0,1,0,6,4,1,0,9,9,3,5,7
TRINITY_DN304044_c0_g1_i1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN67690_c0_g2_i1,2,1,1,0,3,1,0,3,1,1,1,3,5,8,3,0
TRINITY_DN820_c0_g1_i10,91,31,26,43,2,17,14,9,19,27,10,11,42,19,8,12
TRINITY_DN33211_c0_g2_i3,12,12,8,10,26,17,20,11,7,1,7,24,6,9,12,39
TRINITY_DN118344_c0_g1_i1,15,10,7,9,36,18,11,15,6,2,10,36,11,22,4,11
TRINITY_DN345529_c0_g1_i1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN6454_c1_g2_i1,1,1,0,1,1,1,0,0,0,0,2,0,1,2,0,0
TRINITY_DN2949_c0_g2_i2,53,25,27,29,84,93,39,45,27,15,24,73,23,28,22,117
TRINITY_DN34653_c0_g2_i1,2,1,0,0,8,1,2,5,0,0,0,0,3,0,0,0
TRINITY_DN441760_c0_g1_i1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN63827_c0_g1_i1,4,2,0,0,8,0,2,3,0,0,2,0,0,0,0,1
TRINITY_DN281599_c0_g1_i1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN25723_c0_g1_i1,7,15,3,10,30,29,17,10,9,1,7,30,6,15,8,40
TRINITY_DN61888_c0_g1_i1,3,0,0,0,5,1,0,0,1,0,0,4,1,0,0,7
TRINITY_DN15314_c0_g1_i1,29,14,14,8,0,6,3,4,3,10,4,5,13,2,0,8
TRINITY_DN51479_c0_g1_i1,11,4,6,3,0,0,6,0,1,1,6,0,4,6,7,9
TRINITY_DN46195_c0_g1_i1,86,18,47,1,5,3,7,3,1,35,15,2,2,7,3,10
TRINITY_DN185202_c0_g1_i1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
